School Year,School Level,School ID,School Name,State School ID,ZIP,"Pre-K, 3 Years","Pre-K, 4 Years",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic / Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
19-20,Elementary School,496,A. Z. Kelley Elementary,1,37013,,39,154,152,154,177,183,,,,,,,,,1,118,311,212,1,216,431,428,233,77,302,36.0218171181,-86.6588477794,"(36.0218171181, -86.6588477794)"
19-20,Elementary School,375,Alex Green Elementary,5,37189,,36,39,52,43,39,28,,,,,,,,,,,184,30,1,22,117,120,142,23,26,36.2529606982,-86.8322291988,"(36.2529606982, -86.8322291988)"
19-20,Elementary School,105,Amqui Elementary,10,37115,1,30,81,94,81,87,84,,,,,,,,,1,2,178,218,1,58,223,235,224,50,149,36.2737658523,-86.7038315283,"(36.2737658523, -86.7038315283)"
19-20,Elementary School,460,Andrew Jackson Elementary,15,37138,5,27,100,95,88,90,104,,,,,,,,,1,22,154,67,2,263,264,245,105,67,34,36.2315846536,-86.6237746868,"(36.2315846536, -86.6237746868)"
19-20,High School,110,Antioch High School,20,37013,,,,,,,,,,,,490,489,497,507,1,83,657,848,1,393,1079,904,584,194,651,36.0466746426,-86.5994183274,"(36.0466746426, -86.5994183274)"
19-20,Middle School,111,Antioch Middle,23,37013,,,,,,,,92,230,252,211,,,,,1,66,237,373,3,105,395,390,336,104,384,36.0553789673,-86.6718298856,"(36.0553789673, -86.6718298856)"
19-20,Middle School,577,Apollo Middle,25,37013,,,,,,,,180,208,218,210,,,,,2,37,234,401,,142,410,406,316,98,395,36.0668779764,-86.6640697109,"(36.0668779764, -86.6640697109)"
19-20,Middle School,130,Bellevue Middle,40,37221,,,,,,,,143,167,149,157,,,,,,23,206,85,1,301,317,299,178,97,66,36.0707487921,-86.9348203609,"(36.0707487921, -86.9348203609)"
19-20,Elementary School,135,Bellshire Elementary,45,37207,11,40,60,65,54,48,69,,,,,,,,,,4,271,37,,35,162,185,223,45,37,36.2696876639,-86.7623002629,"(36.2696876639, -86.7623002629)"
19-20,Charter,118,Brick Church College Prep,118,37207,,,,,,,,90,76,94,76,,,,,1,2,277,41,,15,181,155,232,8,58,36.2207385771,-86.7817524484,"(36.2207385771, -86.7817524484)"
19-20,Elementary School,165,Buena Vista Elementary,70,37208,,30,25,29,39,35,49,,,,,,,,,,,197,3,1,6,110,97,167,23,3,36.1777411585,-86.7981380508,"(36.1777411585, -86.7981380508)"
19-20,Elementary School,419,Cambridge Early Learning Center,7005,37013,,136,,,,,,,,,,,,,,,4,77,21,,34,75,61,37,8,,36.0603500916,-86.641017433,"(36.0603500916, -86.641017433)"
19-20,Elementary School,184,Cane Ridge Elementary,82,37013,,35,109,106,120,98,89,51,,,,,,,,1,25,301,139,1,141,315,293,235,43,215,36.0397196657,-86.6181506279,"(36.0397196657, -86.6181506279)"
19-20,High School,182,Cane Ridge High School,77,37013,,,,,,,,,,,,489,422,518,440,2,136,752,655,3,321,1002,867,560,199,560,36.0302884296,-86.621230214,"(36.0302884296, -86.621230214)"
19-20,Elementary School,185,Carter-Lawrence Elementary,670,37203,,20,38,47,50,56,62,,,,,,,,,,3,222,22,2,24,146,127,160,27,25,36.1436534419,-86.7858534926,"(36.1436534419, -86.7858534926)"
19-20,Elementary School,186,Casa Azafran Early Learning Center,7020,37211,7,73,,,,,,,,,,,,,,,9,17,35,,19,43,37,14,10,,36.1265171601,-86.7533987496,"(36.1265171601, -86.7533987496)"
19-20,Elementary School,200,Chadwell Elementary,105,37115,,19,61,56,55,61,80,,,,,,,,,2,3,174,112,,41,165,167,169,50,84,36.25637022,-86.7416710943,"(36.25637022, -86.7416710943)"
19-20,Elementary School,205,Charlotte Park Elementary,110,37209,2,40,85,87,95,94,99,,,,,,,,,,43,96,267,3,93,269,233,186,59,240,36.1512452389,-86.8837135472,"(36.1512452389, -86.8837135472)"
19-20,Elementary School,215,Cockrill Elementary,120,37209,5,31,61,49,52,53,62,,,,,,,,,,4,156,114,,39,151,162,168,40,81,36.1562064576,-86.8451449272,"(36.1562064576, -86.8451449272)"
19-20,Elementary School,225,Cole Elementary,130,37013,,64,139,134,148,136,135,,,,,,,,,,101,72,471,2,110,397,359,304,59,412,36.0583352576,-86.6986202084,"(36.0583352576, -86.6986202084)"
19-20,Special Education,448,Cora Howe School,443,37206,,,,,1,6,2,10,10,4,11,10,5,7,20,,1,53,3,,29,69,17,41,85,6,36.1889302687,-86.7345832942,"(36.1889302687, -86.7345832942)"
19-20,Middle School,783,Creswell Middle School of the Arts,700,37218,,,,,,,,89,106,90,81,,,,,1,,321,13,,31,137,229,153,40,4,36.1960632171,-86.8375393872,"(36.1960632171, -86.8375393872)"
19-20,Elementary School,235,Crieve Hall Elementary,145,37220,,,105,91,87,84,99,,,,,,,,,3,71,30,116,2,244,221,245,61,27,125,36.0657457496,-86.7581030533,"(36.0657457496, -86.7581030533)"
19-20,Middle School,238,Croft Middle,148,37211,,,,,,,,167,211,186,174,,,,,,20,142,365,1,210,380,358,231,82,317,36.0874749426,-86.7341476906,"(36.0874749426, -86.7341476906)"
19-20,Elementary School,240,Cumberland Elementary,150,37218,,1,56,47,54,54,58,,,,,,,,,,2,208,32,2,26,136,134,190,25,19,36.2120690993,-86.866568623,"(36.2120690993, -86.866568623)"
19-20,Elementary School,560,Dan Mills Elementary,160,37216,2,27,99,118,102,106,93,,,,,,,,,4,7,82,91,1,362,265,282,91,46,58,36.2186382608,-86.7170839527,"(36.2186382608, -86.7170839527)"
19-20,Elementary School,252,Dodson Elementary,165,37076,2,26,55,86,65,75,65,,,,,,,,,2,6,207,61,2,96,194,180,192,67,50,36.1909084815,-86.6033179312,"(36.1909084815, -86.6033179312)"
19-20,Middle School,260,Donelson Middle,175,37214,,,,,,,,190,189,220,178,,,,,1,14,355,155,2,250,393,384,352,116,148,36.1667225726,-86.656336234,"(36.1667225726, -86.656336234)"
19-20,Elementary School,265,Dupont Elementary,180,37138,,38,63,66,66,64,74,,,,,,,,,,4,95,48,1,223,183,188,149,45,20,36.2613820968,-86.652625791,"(36.2613820968, -86.652625791)"
19-20,Middle School,270,Dupont-Hadley Middle,190,37138,,,,,,,,142,161,148,157,,,,,1,9,202,78,,318,319,289,175,92,43,36.2497784913,-86.6427891084,"(36.2497784913, -86.6427891084)"
19-20,Middle School,275,Dupont-Tyler Middle,185,37076,,,,,,,,123,167,133,151,,,,,2,11,270,143,1,147,284,290,231,88,115,36.1996225114,-86.6125957599,"(36.1996225114, -86.6125957599)"
19-20,Elementary School,278,Eagle View Elementary,115,37013,,56,99,113,112,105,105,71,,,,,,,,3,18,349,193,1,97,342,319,252,61,233,,,
19-20,Elementary School,280,Eakin Elementary,195,37212,,,114,117,98,118,107,,,,,,,,,1,58,191,34,,270,272,282,87,70,37,36.1351431922,-86.8076066846,"(36.1351431922, -86.8076066846)"
19-20,Charter,286,East End Preparatory School,8009,37216,,,114,104,112,103,108,97,99,100,80,,,,,2,11,706,123,,75,431,486,391,93,43,36.2069950352,-86.7182717708,"(36.2069950352, -86.7182717708)"
19-20,Middle School,296,East Nashville Middle,296,37206,,,,,,,,83,80,81,88,,,,,2,2,308,10,1,9,157,175,174,35,5,36.1888616451,-86.7332427155,"(36.1888616451, -86.7332427155)"
19-20,High School,290,East Nashville School,203,37206,,,,,,,,,,,,158,168,179,176,1,5,640,13,,22,313,368,231,57,3,36.1806264426,-86.7504713705,"(36.1806264426, -86.7504713705)"
19-20,Charter,305,Explore Community School,8060,37206,,,104,92,91,92,80,,,,,,,,,2,4,250,24,,177,213,246,189,53,5,36.1743641454,-86.7516488877,"(36.1743641454, -86.7516488877)"
